test_acc,test_auc,test_loss
0.3493282149712092,0.3763366121038112,"tensor(3.1644, device='cuda:0')"
0.6852207293666027,0.5344818884102842,"tensor(2.2014, device='cuda:0')"
0.8771593090211133,0.6867767152978365,"tensor(1.8755, device='cuda:0')"
0.9232245681381958,0.7593290657883542,"tensor(1.8088, device='cuda:0')"
0.9404990403071017,0.7939263192352453,"tensor(1.7738, device='cuda:0')"
0.9481765834932822,0.8152270311817273,"tensor(1.7732, device='cuda:0')"
0.9539347408829175,0.8100348835029438,"tensor(1.7529, device='cuda:0')"
0.9577735124760077,0.8242745341776131,"tensor(1.7436, device='cuda:0')"
0.9596928982725528,0.8289266292787811,"tensor(1.7395, device='cuda:0')"
0.9616122840690979,0.8213146999571708,"tensor(1.7519, device='cuda:0')"
0.963531669865643,0.8226471661299789,"tensor(1.7272, device='cuda:0')"
0.9596928982725528,0.8307198345665374,"tensor(1.7269, device='cuda:0')"
0.9577735124760077,0.8326947397869496,"tensor(1.8289, device='cuda:0')"
0.963531669865643,0.8421049216166678,"tensor(1.7272, device='cuda:0')"
0.963531669865643,0.8134734826253045,"tensor(1.7149, device='cuda:0')"
0.9654510556621881,0.8081191028637927,"tensor(1.7178, device='cuda:0')"
0.9654510556621881,0.8231922659279458,"tensor(1.7557, device='cuda:0')"
0.9673704414587332,0.8307104611573132,"tensor(1.7153, device='cuda:0')"
0.9673704414587332,0.8190441718304537,"tensor(1.7119, device='cuda:0')"
0.9692898272552783,0.8210226822082598,"tensor(1.6981, device='cuda:0')"
0.9692898272552783,0.8222419464388976,"tensor(1.7086, device='cuda:0')"
0.9712092130518234,0.8281644990056976,"tensor(1.6963, device='cuda:0')"
0.9712092130518234,0.8340106222357456,"tensor(1.7043, device='cuda:0')"
0.9692898272552783,0.8263294738921712,"tensor(1.6970, device='cuda:0')"
0.9712092130518234,0.8337633084385199,"tensor(1.6945, device='cuda:0')"
0.9712092130518234,0.8324459839267663,"tensor(1.7039, device='cuda:0')"
0.9673704414587332,0.8295741155467365,"tensor(1.6939, device='cuda:0')"
0.9673704414587332,0.8339507766230059,"tensor(1.7005, device='cuda:0')"
0.9692898272552783,0.8280714859449334,"tensor(1.6869, device='cuda:0')"
0.9692898272552783,0.8155536584416202,"tensor(1.7050, device='cuda:0')"
0.9673704414587332,0.827177406911231,"tensor(1.7038, device='cuda:0')"
0.9692898272552783,0.8255442706117663,"tensor(1.6961, device='cuda:0')"
0.9673704414587332,0.829006663772927,"tensor(1.7024, device='cuda:0')"
0.9692898272552783,0.8228699648569258,"tensor(1.6844, device='cuda:0')"
