test_acc,test_auc,test_loss
0.2618421052631579,0.5316060009837678,"tensor(3.3828, device='cuda:0')"
0.6605263157894737,0.6331259222823413,"tensor(2.4417, device='cuda:0')"
0.7907894736842105,0.7256763403836695,"tensor(2.0688, device='cuda:0')"
0.8776315789473684,0.8101574028529268,"tensor(1.8698, device='cuda:0')"
0.8947368421052632,0.8348475159862272,"tensor(1.7905, device='cuda:0')"
0.9052631578947369,0.838177570093458,"tensor(1.7830, device='cuda:0')"
0.906578947368421,0.8306455976389572,"tensor(1.7495, device='cuda:0')"
0.9052631578947369,0.8404857353664534,"tensor(1.7487, device='cuda:0')"
0.9105263157894737,0.847251598622725,"tensor(1.7416, device='cuda:0')"
0.9105263157894737,0.855308657156911,"tensor(1.7358, device='cuda:0')"
0.9118421052631579,0.8444220363994097,"tensor(1.7578, device='cuda:0')"
0.9197368421052632,0.853943679291687,"tensor(1.7296, device='cuda:0')"
0.9184210526315789,0.8548548942449581,"tensor(1.7153, device='cuda:0')"
0.9171052631578948,0.8644158878504673,"tensor(1.7150, device='cuda:0')"
0.9197368421052632,0.8580939498278406,"tensor(1.7132, device='cuda:0')"
0.9197368421052632,0.8437309394982784,"tensor(1.7462, device='cuda:0')"
0.9171052631578948,0.8520573044761435,"tensor(1.7134, device='cuda:0')"
0.9171052631578948,0.8516687161829807,"tensor(1.6908, device='cuda:0')"
0.9210526315789473,0.859380226266601,"tensor(1.6945, device='cuda:0')"
0.9236842105263158,0.8679795868175111,"tensor(1.6694, device='cuda:0')"
